Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,IsCancelled,DayOfWeek,Hour
575517,23298,SPOTTY BUNTING,3,2011-11-10 10:49:00,4.95,14562,United Kingdom,14.850000000000001,False,Thursday,10
541862,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-01-23 16:02:00,2.95,14068,United Kingdom,29.5,False,Sunday,16
500238,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-03-05 11:57:00,1.25,15827,United Kingdom,15.0,False,Friday,11
509050,85150,LADIES & GENTLEMEN METAL SIGN,2,2010-05-20 10:56:00,2.55,13448,United Kingdom,5.1,False,Thursday,10
551171,85049C,ROMANTIC PINKS RIBBONS ,2,2011-04-26 16:45:00,1.25,13263,United Kingdom,2.5,False,Tuesday,16
534812,21914,BLUE HARMONICA IN BOX ,4,2010-11-24 12:43:00,1.25,14458,United Kingdom,5.0,False,Wednesday,12
547709,22855,FINE WICKER HEART ,2,2011-03-24 18:43:00,1.25,18109,United Kingdom,2.5,False,Thursday,18
517931,20983,12 PENCILS TALL TUBE RED SPOTTY,10,2010-08-03 10:42:00,0.85,16161,United Kingdom,8.5,False,Tuesday,10
522299,20671,BLUE TEATIME PRINT BOWL ,8,2010-09-13 14:49:00,1.25,16550,United Kingdom,10.0,False,Monday,14
515009,21843,RED RETROSPOT CAKE STAND,4,2010-07-07 16:00:00,10.95,14175,United Kingdom,43.8,False,Wednesday,16
C519281,72225C,LAVENDER SCENT CAKE CANDLE,-48,2010-08-16 10:44:00,0.29,14872,United Kingdom,-13.919999999999998,True,Monday,10
568369,21989,PACK OF 20 SKULL PAPER NAPKINS,4,2011-09-26 16:15:00,0.85,16710,United Kingdom,3.4,False,Monday,16
494778,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2010-01-18 12:48:00,1.25,14461,United Kingdom,15.0,False,Monday,12
495369,22318,FIVE HEART HANGING DECORATION,4,2010-01-24 12:31:00,2.95,13527,United Kingdom,11.8,False,Sunday,12
555124,85049F,BABY BOOM RIBBONS ,1,2011-05-31 15:26:00,1.25,18204,United Kingdom,1.25,False,Tuesday,15
499893,84670,JAPANESE CROCHETED ANIMAL,24,2010-03-03 11:40:00,0.42,18148,United Kingdom,10.08,False,Wednesday,11
570455,21257,VICTORIAN SEWING BOX MEDIUM,1,2011-10-10 15:27:00,7.95,14529,United Kingdom,7.95,False,Monday,15
569329,22469,HEART OF WICKER SMALL,12,2011-10-03 13:03:00,1.65,17652,United Kingdom,19.799999999999997,False,Monday,13
490047,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2009-12-03 13:02:00,1.65,17913,United Kingdom,3.3,False,Thursday,13
504119,84227,HEN HOUSE W CHICK IN NEST,3,2010-04-09 16:54:00,0.42,17609,United Kingdom,1.26,False,Friday,16
529326,22553,PLASTERS IN TIN SKULLS,1,2010-10-27 14:14:00,1.65,13547,United Kingdom,1.65,False,Wednesday,14
498135,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2010-02-16 17:47:00,0.29,14911,EIRE,6.959999999999999,False,Tuesday,17
500330,21754,HOME BUILDING BLOCK WORD,3,2010-03-07 13:00:00,5.95,17236,United Kingdom,17.85,False,Sunday,13
510240,21656,RIDGED GLASS POSY VASE ,6,2010-05-28 10:04:00,1.45,17463,United Kingdom,8.7,False,Friday,10
521369,82597,BOMBS AWAY METAL SIGN,2,2010-09-05 11:14:00,2.1,16085,United Kingdom,4.2,False,Sunday,11
507700,22385,JUMBO BAG SPACEBOY DESIGN,10,2010-05-11 10:50:00,1.95,16945,United Kingdom,19.5,False,Tuesday,10
580613,23312,VINTAGE CHRISTMAS GIFT SACK,4,2011-12-05 12:03:00,4.15,14759,United Kingdom,16.6,False,Monday,12
528082,21497,FANCY FONTS BIRTHDAY WRAP,200,2010-10-20 12:53:00,0.34,16521,United Kingdom,68.0,False,Wednesday,12
564139,20725,LUNCH BAG RED RETROSPOT,3,2011-08-23 11:41:00,1.65,16904,United Kingdom,4.949999999999999,False,Tuesday,11
537050,22560,TRADITIONAL MODELLING CLAY,5,2010-12-05 11:10:00,1.25,14800,United Kingdom,6.25,False,Sunday,11
507845,21636,MADRAS NOTEBOOK MEDIUM,24,2010-05-11 14:00:00,2.55,15497,United Kingdom,61.199999999999996,False,Tuesday,14
520561,22030,SWALLOWS GREETING CARD,12,2010-08-26 16:46:00,0.42,14769,United Kingdom,5.04,False,Thursday,16
570127,21110,LARGE CAKE TOWEL PINK SPOTS,24,2011-10-07 13:17:00,1.95,16900,United Kingdom,46.8,False,Friday,13
494481,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-01-14 16:24:00,1.65,17850,United Kingdom,16.5,False,Thursday,16
569900,23313,VINTAGE CHRISTMAS BUNTING,10,2011-10-06 16:17:00,4.95,17651,United Kingdom,49.5,False,Thursday,16
560272,22467,GUMBALL COAT RACK,12,2011-07-17 14:56:00,2.55,12691,France,30.599999999999998,False,Sunday,14
576924,22617,BAKING SET SPACEBOY DESIGN,6,2011-11-17 10:53:00,4.95,17419,United Kingdom,29.700000000000003,False,Thursday,10
562456,21136,PAINTED METAL PEARS ASSORTED,8,2011-08-05 10:39:00,1.69,15194,United Kingdom,13.52,False,Friday,10
504138,21313,GLASS HEART T-LIGHT HOLDER ,12,2010-04-11 12:32:00,0.85,14275,United Kingdom,10.2,False,Sunday,12
570720,22615,PACK OF 12 CIRCUS PARADE TISSUES ,48,2011-10-12 10:50:00,0.29,17934,United Kingdom,13.919999999999998,False,Wednesday,10
513189,22476,EMPIRE UNION JACK TV DINNER TRAY,3,2010-06-22 14:19:00,4.95,16105,United Kingdom,14.850000000000001,False,Tuesday,14
554827,22482,BLUE TEA TOWEL CLASSIC DESIGN,96,2011-05-26 15:19:00,1.06,14646,Netherlands,101.76,False,Thursday,15
543454,22507,MEMO BOARD RETROSPOT  DESIGN,1,2011-02-08 12:20:00,4.95,14527,United Kingdom,4.95,False,Tuesday,12
570211,22791,T-LIGHT GLASS FLUTED ANTIQUE,2,2011-10-09 11:15:00,1.25,13558,United Kingdom,2.5,False,Sunday,11
