Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,IsCancelled,DayOfWeek,Hour
575517,23298,SPOTTY BUNTING,3,2011-11-10T10:49:00.000+02:00,4.95,14562,United Kingdom,14.850000000000001,false,Thursday,10
541862,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-01-23T16:02:00.000+02:00,2.95,14068,United Kingdom,29.5,false,Sunday,16
500238,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-03-05T11:57:00.000+02:00,1.25,15827,United Kingdom,15.0,false,Friday,11
509050,85150,LADIES & GENTLEMEN METAL SIGN,2,2010-05-20T10:56:00.000+03:00,2.55,13448,United Kingdom,5.1,false,Thursday,10
551171,85049C,ROMANTIC PINKS RIBBONS,2,2011-04-26T16:45:00.000+02:00,1.25,13263,United Kingdom,2.5,false,Tuesday,16
534812,21914,BLUE HARMONICA IN BOX,4,2010-11-24T12:43:00.000+02:00,1.25,14458,United Kingdom,5.0,false,Wednesday,12
547709,22855,FINE WICKER HEART,2,2011-03-24T18:43:00.000+02:00,1.25,18109,United Kingdom,2.5,false,Thursday,18
517931,20983,12 PENCILS TALL TUBE RED SPOTTY,10,2010-08-03T10:42:00.000+03:00,0.85,16161,United Kingdom,8.5,false,Tuesday,10
522299,20671,BLUE TEATIME PRINT BOWL,8,2010-09-13T14:49:00.000+03:00,1.25,16550,United Kingdom,10.0,false,Monday,14
515009,21843,RED RETROSPOT CAKE STAND,4,2010-07-07T16:00:00.000+03:00,10.95,14175,United Kingdom,43.8,false,Wednesday,16
C519281,72225C,LAVENDER SCENT CAKE CANDLE,-48,2010-08-16T10:44:00.000+02:00,0.29,14872,United Kingdom,-13.919999999999998,true,Monday,10
568369,21989,PACK OF 20 SKULL PAPER NAPKINS,4,2011-09-26T16:15:00.000+02:00,0.85,16710,United Kingdom,3.4,false,Monday,16
494778,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2010-01-18T12:48:00.000+02:00,1.25,14461,United Kingdom,15.0,false,Monday,12
495369,22318,FIVE HEART HANGING DECORATION,4,2010-01-24T12:31:00.000+02:00,2.95,13527,United Kingdom,11.8,false,Sunday,12
555124,85049F,BABY BOOM RIBBONS,1,2011-05-31T15:26:00.000+02:00,1.25,18204,United Kingdom,1.25,false,Tuesday,15
499893,84670,JAPANESE CROCHETED ANIMAL,24,2010-03-03T11:40:00.000+02:00,0.42,18148,United Kingdom,10.08,false,Wednesday,11
570455,21257,VICTORIAN SEWING BOX MEDIUM,1,2011-10-10T15:27:00.000+02:00,7.95,14529,United Kingdom,7.95,false,Monday,15
569329,22469,HEART OF WICKER SMALL,12,2011-10-03T13:03:00.000+02:00,1.65,17652,United Kingdom,19.799999999999997,false,Monday,13
490047,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2009-12-03T13:02:00.000+02:00,1.65,17913,United Kingdom,3.3,false,Thursday,13
504119,84227,HEN HOUSE W CHICK IN NEST,3,2010-04-09T16:54:00.000+02:00,0.42,17609,United Kingdom,1.26,false,Friday,16
529326,22553,PLASTERS IN TIN SKULLS,1,2010-10-27T14:14:00.000+02:00,1.65,13547,United Kingdom,1.65,false,Wednesday,14
498135,21983,PACK OF 12 BLUE PAISLEY TISSUES,24,2010-02-16T17:47:00.000+02:00,0.29,14911,EIRE,6.959999999999999,false,Tuesday,17
500330,21754,HOME BUILDING BLOCK WORD,3,2010-03-07T13:00:00.000+02:00,5.95,17236,United Kingdom,17.85,false,Sunday,13
510240,21656,RIDGED GLASS POSY VASE,6,2010-05-28T10:04:00.000+03:00,1.45,17463,United Kingdom,8.7,false,Friday,10
521369,82597,BOMBS AWAY METAL SIGN,2,2010-09-05T11:14:00.000+02:00,2.1,16085,United Kingdom,4.2,false,Sunday,11
507700,22385,JUMBO BAG SPACEBOY DESIGN,10,2010-05-11T10:50:00.000+03:00,1.95,16945,United Kingdom,19.5,false,Tuesday,10
580613,23312,VINTAGE CHRISTMAS GIFT SACK,4,2011-12-05T12:03:00.000+02:00,4.15,14759,United Kingdom,16.6,false,Monday,12
528082,21497,FANCY FONTS BIRTHDAY WRAP,200,2010-10-20T12:53:00.000+02:00,0.34,16521,United Kingdom,68.0,false,Wednesday,12
564139,20725,LUNCH BAG RED RETROSPOT,3,2011-08-23T11:41:00.000+02:00,1.65,16904,United Kingdom,4.949999999999999,false,Tuesday,11
537050,22560,TRADITIONAL MODELLING CLAY,5,2010-12-05T11:10:00.000+02:00,1.25,14800,United Kingdom,6.25,false,Sunday,11
507845,21636,MADRAS NOTEBOOK MEDIUM,24,2010-05-11T14:00:00.000+03:00,2.55,15497,United Kingdom,61.199999999999996,false,Tuesday,14
